page_name,locale,cms_id,override_id,text,section_name,source_object_path
home,en-us,52682,,Suggested languages,header,agoda.reactHeader.menuViewModel
home,en-us,52681,,All languages,header,agoda.reactHeader.menuViewModel
home,en-us,152637,,Language,header,agoda.reactHeader.menuViewModel
home,en-us,544360,,Language in {0,header,agoda.reactHeader.menuViewModel
home,en-us,351700,,Select your language,header,agoda.reactHeader.menuViewModel
home,en-us,92412,,Your past bookings have earned you {0,header,agoda.reactHeader.menuViewModel
home,en-us,92413,,Agoda,header,agoda.reactHeader.menuViewModel
home,en-us,105462,,Agoda,header,agoda.reactHeader.menuViewModel
home,en-us,92411,,VIP,header,agoda.reactHeader.menuViewModel
home,en-us,45417,417546,My Trips,header,agoda.reactHeader.menuViewModel
home,en-us,84376,,Property messages,header,agoda.reactHeader.menuViewModel
home,en-us,126481,,Cashback Rewards,header,agoda.reactHeader.menuViewModel
home,en-us,70036,,Saved properties list,header,agoda.reactHeader.menuViewModel
home,en-us,45419,,Reviews,header,agoda.reactHeader.menuViewModel
home,en-us,75353,,Refer-a-Friend,header,agoda.reactHeader.menuViewModel
home,en-us,59129,102085,PointsMAX,header,agoda.reactHeader.menuViewModel
home,en-us,366733,,AgodaWallet,header,agoda.reactHeader.menuViewModel
home,en-us,45420,,Profile,header,agoda.reactHeader.menuViewModel
home,en-us,71112,,My Account,header,agoda.reactHeader.menuViewModel
home,en-us,77044,,No password needed!,header,agoda.reactHeader.menuViewModel
home,en-us,73303,,Host,header,agoda.reactHeader.menuViewModel
home,en-us,3325,102016,Help center,header,agoda.reactHeader.menuViewModel
home,en-us,107154,,View points balance,header,agoda.reactHeader.menuViewModel
home,en-us,97789,,AgodaVIP,header,agoda.reactHeader.menuViewModel
home,en-us,188118,,Made on or after Mar 19,header,agoda.reactHeader.menuViewModel
home,en-us,152020,,Made before Mar 19,header,agoda.reactHeader.menuViewModel
home,en-us,153344,,Use a different card,header,agoda.reactHeader.menuViewModel
home,en-us,52647,101904,Sign in,header,agoda.reactHeader.menuViewModel
home,en-us,52648,101957,Create account,header,agoda.reactHeader.menuViewModel
home,en-us,145562,,Sign in / Sign up,header,agoda.reactHeader.menuViewModel
home,en-us,45397,,Sign out,header,agoda.reactHeader.menuViewModel
home,en-us,63966,102014,Sign in,header,agoda.reactHeader.menuViewModel
home,en-us,145558,,Save more with AgodaVIP {0,header,agoda.reactHeader.menuViewModel
home,en-us,145559,,Sign in and collect bookings towards VIP status to get more discounts and exclusive deals!,header,agoda.reactHeader.menuViewModel
home,en-us,145560,,Join AgodaVIP,header,agoda.reactHeader.menuViewModel
home,en-us,145561,,Special deals!,header,agoda.reactHeader.menuViewModel
home,en-us,49354,,Settings,header,agoda.reactHeader.menuViewModel
home,en-us,94911,101826,List your place,header,agoda.reactHeader.menuViewModel
home,en-us,95215,,List your place on Agoda,header,agoda.reactHeader.menuViewModel
home,en-us,94913,102088,Earn money to pay for your travel!,header,agoda.reactHeader.menuViewModel
home,en-us,95217,101823,List your place today,header,agoda.reactHeader.menuViewModel
home,en-us,100425,,In the past 24 hours,header,agoda.reactHeader.menuViewModel
home,en-us,99160,,Don't show this again.,header,agoda.reactHeader.menuViewModel
home,en-us,103288,,Booked on or before December 15,header,agoda.reactHeader.menuViewModel
home,en-us,112102,,<p>Please contact JAPANiCAN Customer Support to confirm your booking details.<a href=\u0022https://www.japanican.com/content/faq/?#6-1\u0022> >See more details</a></p>,header,agoda.reactHeader.menuViewModel
home,en-us,103292,,Booked on or after December 16,header,agoda.reactHeader.menuViewModel
home,en-us,103293,,Please check your booking confirmation email. You can easily access your booking from the link inside that email.,header,agoda.reactHeader.menuViewModel
home,en-us,103418,,or,header,agoda.reactHeader.menuViewModel
home,en-us,103417,,Close,header,agoda.reactHeader.menuViewModel
home,en-us,73926,,By signing in,header,agoda.reactHeader.menuViewModel
home,en-us,73927,,Terms of Use,header,agoda.reactHeader.menuViewModel
home,en-us,73928,,Privacy Policy,header,agoda.reactHeader.menuViewModel
home,en-us,155806,,Help,header,agoda.reactHeader.menuViewModel
home,en-us,224485,,Close,header,agoda.reactHeader.menuViewModel
home,en-us,325751,,海外旅行,header,agoda.reactHeader.menuViewModel
home,en-us,325750,,国内旅行,header,agoda.reactHeader.menuViewModel
home,en-us,332926,,Menu,header,agoda.reactHeader.menuViewModel
